my_dates,dt_start,start,label,tp,before_avg,before_density,day_of_week,kind,red_diff,blu_diff,diff_to_first,result
2018-12-04 11:00:00,2018-12-03 12:00:00,1.27184,3478,0.017613538668428852,1.2945545833333334,1.2950424649298595,1,1,0.00374102168123458,0.003581288229079771,0.009553336241913568,0.0
2018-12-04 11:00:00,2018-12-04 03:00:00,1.27344,4378,0.009420204489969386,1.2746020833333334,1.2725730861723448,1,1,-0.0008722263839047173,0.0009240581569045504,0.0002666937623347909,1.0
2018-12-04 12:00:00,2018-12-03 13:00:00,1.27224,3478,0.018726594900557947,1.2948120833333334,1.295077014028056,1,1,0.003386573879967214,0.0042835338828584035,0.009072111947358463,1.0
2018-12-04 13:00:00,2018-12-03 14:00:00,1.27174,3478,0.019268954939184242,1.2951058333333334,1.295035250501002,1,1,0.0017773418299036337,0.003762803821881322,0.01019476147943621,0.0
2018-12-04 14:00:00,2018-12-03 15:00:00,1.26991,3478,0.017364305509939282,1.2953845833333333,1.2949230661322646,1,1,0.0017339920622863048,0.0047513832499048725,0.013678600682782704,0.0
2018-12-06 02:00:00,2018-12-05 03:00:00,1.27051,3478,0.008573047578112725,1.27454125,1.272619238476954,3,1,0.00034213091340640217,0.0014262039168546625,0.0033291182720280865,0.0
2018-12-06 03:00:00,2018-12-05 04:00:00,1.27014,4378,0.01295863317107382,1.2744191666666669,1.2723869539078156,3,1,-7.104581734940218e-05,0.002187546885674241,0.00015443730493069907,1.0
2018-12-06 04:00:00,2018-12-05 05:00:00,1.27035,3487,0.010444821437972651,1.2742675,1.272148496993988,3,1,0.001909316308442932,-0.00023281906086780602,0.002006338385867057,0.0
2018-12-06 05:00:00,2018-12-05 06:00:00,1.26925,3478,0.010411647326119322,1.2741295833333333,1.2718945490981963,3,1,0.0025186994099637428,0.00219697880867753,0.003191224787488789,0.0
2018-12-06 06:00:00,2018-12-05 07:00:00,1.26801,3478,0.00795947362026328,1.2739029166666669,1.2716872344689378,3,1,0.0008824179617854533,0.0020741487533511016,0.004133080528612386,1.0
2018-12-07 04:00:00,2018-12-06 05:00:00,1.27217,3478,0.01092513603248313,1.2729700000000002,1.272850480961924,4,1,0.002446837532723123,0.00022310221596133492,0.0008756550950062003,1.0
2018-12-07 05:00:00,2018-12-06 06:00:00,1.27267,3478,0.011147317531722713,1.2730458333333334,1.2728132464929858,4,1,0.00307213712784038,0.002717792344700154,0.0003145214106414773,1.0
